Day ,Date,Total refill per day
Thursday,06/11/2025,5
Friday,07/11/2025,6
Saturday,08/11/2025,5
Sunday,09/11/2025,4
Monday,10/11/2025,6
Tuesday,11/11/2025,4
Wednesday,12/11/2025,8
Thursday,13/11/2025,6
Friday,14/11/2025,6
Saturday,15/11/2025,4
Sunday,16/11/2025,5
Monday,17/11/2025,5
Tuesday,18/11/2025,2
Wednesday,19/11/2025,5
Thursday,20/11/2025,7
Friday,21/11/2025,4
Saturday,22/11/2025,5
Sunday,23/11/2025,3
Monday,24/11/2025,6
Tuesday,25/11/2025,5
Wednesday,26/11/2025,5
Thursday,27/11/2025,7
Friday,28/11/2025,6
Saturday,29/11/2025,2
Sunday,30/11/2025,4
